combo,price,threshold,hold,filters,win_rate,net_pl,trades
Price+Move+Volume,95-99,25,12,3,1.0,12.925933333333333,3
ULTRA (All Filters),95-99,25,12,4,1.0,12.925933333333333,3
Price+Move+Volume,95-99,20,12,3,1.0,7.5926,5
ULTRA (All Filters),95-99,20,12,4,1.0,7.5926,5
Price+Move+Volume,1-5,25,5,3,0.875,6.3426,8
Price+Move+Spread,90-99,25,12,3,1.0,6.129492857142856,7
Price+Move+Volume,90-95,20,12,3,1.0,6.0287500000000005,6
Price+Move+Volume,90-95,25,12,3,1.0,6.0287500000000005,6
Price+Move+Spread,90-99,20,12,3,1.0,4.6056833333333325,9
Price+Move+Volume,95-99,30,10,3,1.0,3.5925999999999996,2
Price+Move+Volume,95-99,30,12,3,1.0,3.5925999999999996,1
Price+Move+Volume,1-5,20,5,3,0.8125,2.5926,16
Price+Move+Volume,1-10,25,5,3,0.7647058823529411,2.2723499999999994,17
Price+Move+Volume,90-95,30,12,3,1.0,2.0287500000000005,3
